method,official_em_mean,official_em_sample_std,end_to_end_seconds_mean,selected_databases_mean
Full Data,0.2302,0.01833575741549828,692.8319848418702,137.0
Random,0.1564,0.011326958991715307,502.4184434830677,126.8
Two-round Iterative,0.1356,0.019230184606498193,510.3284480161965,124.0
Five-round Full Adaptation,0.1522,0.029642874354556103,605.010510849231,123.2
Five-round IDU-only,0.1708,0.023857912733514636,527.2913204078097,119.2
Static Uncertainty,0.1382,0.023668544526438462,457.50425954901146,114.0
Cluster-MAB Component,0.1424,0.011326958991715293,629.777192215994,120.2
Database-quota Component,0.1552,0.02038872237291978,582.2623152577784,111.0
